Experiment,Board,wordpair1,wordpair2,wordpair3,boardwords
E1,TrialList1,exam-algebra,giggle-abnormal,void-couch,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']"
E1,TrialList2,birds-aircraft,beginning-brake,school-stop,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']"
E1,TrialList3,circle-dance,famine-calorie,hundred-economy,"['circle', 'dance', 'day', 'dark', 'famine', 'calorie', 'hundred', 'economy', 'ill', 'aid', 'jeans', 'blood', 'lion', 'stripes', 'literature', 'college', 'nurse', 'lawyer', 'wicked', 'disgust']"
E1,TrialList4,corpse-fight,graph-copy,kitchen-egg,"['ceiling', 'carpet', 'corpse', 'fight', 'extension', 'fangs', 'garden', 'cautious', 'glacier', 'berry', 'graph', 'copy', 'kitchen', 'egg', 'reality', 'island', 'teacher', 'fruit', 'wrist', 'clock']"
E1,TrialList5,homeless-apartment,near-astronaut,onion-cigarette,"['ancestor', 'child', 'carriage', 'done', 'denial', 'disregard', 'flower', 'thorn', 'homeless', 'apartment', 'keeper', 'blues', 'near', 'astronaut', 'onion', 'cigarette', 'sky', 'color', 'teenager', 'combination']"
E1,TrialList6,definition-assist,pants-collar,war-quiet,"['beach', 'box', 'beaker', 'experiment', 'bull', 'milk', 'definition', 'assist', 'oyster', 'necklace', 'pants', 'collar', 'pieces', 'cover', 'tree', 'syrup', 'war', 'quiet', 'welfare', 'conquer']"
E1,TrialList7,flat-alike,heavy-feather,perjury-adultery,"['baby', 'competition', 'beauty', 'puppy', 'deteriorate', 'float', 'flat', 'alike', 'grocery', 'receipt', 'heavy', 'feather', 'hose', 'herb', 'perjury', 'adultery', 'service', 'Baptist', 'winter', 'man']"
E1,TrialList8,bad-actress,breeze-bubble,communicate-cooking,"['bad', 'actress', 'bow', 'dominant', 'breeze', 'bubble', 'clarify', 'care', 'communicate', 'cooking', 'deer', 'vegetable', 'most', 'deodorant', 'party', 'trash', 'plan', 'base', 'sauce', 'pepper']"
E1,TrialList9,bat-bounce,toes-Dracula,lunch-almond,"['bat', 'bounce', 'cello', 'rhythm', 'gold', 'debate', 'lunch', 'almond', 'neutron', 'bacteria', 'painter', 'agenda', 'priest', 'bell', 'soap', 'drink', 'toes', 'Dracula', 'window', 'knob']"
E1,TrialList10,tea-bean,tourist-comedy,pendulum-dusk,"['command', 'bluejay', 'hand', 'kick', 'hard', 'coffin', 'pendulum', 'dusk', 'pull', 'blank', 'shampoo', 'action', 'strawberry', 'clove', 'tea', 'bean', 'tourist', 'comedy', 'valley', 'peak']"
E2,TrialList1,cave-knight,quick-glow,tree-oak,"['bench', 'analyze', 'quick', 'glow', 'tree', 'oak', 'idiot', 'month', 'red', 'site', 'cave', 'knight', 'bird', 'robin', 'cut', 'trim', 'fairy', 'mild', 'weak', 'hope']"
E2,TrialList2,stern-wind,sun-bowl,gold-silver,"['plant', 'cup', 'gold', 'silver', 'bow', 'arrow', 'blue', 'tip', 'sun', 'bowl', 'above', 'below', 'lunch', 'tent', 'lace', 'host', 'loose', 'post', 'stern', 'wind']"
E2,TrialList3,holy-kind,teeth-gums,rude-regret,"['firm', 'beam', 'jam', 'tiny', 'luck', 'chip', 'teeth', 'gums', 'holy', 'kind', 'hammer', 'tool', 'bulb', 'shine', 'rude', 'regret', 'road', 'gray', 'paper', 'lane']"
E2,TrialList4,dream-bet,jump-leap,travel-ankle,"['sunny', 'run', 'jump', 'leap', 'chief', 'give', 'dream', 'bet', 'path', 'gun', 'travel', 'ankle', 'usual', 'poor', 'glue', 'paste', 'fork', 'spoon', 'angel', 'halo']"
E2,TrialList5,snake-ash,hand-birth,lion-tiger,"['fresh', 'trace', 'storm', 'hell', 'tower', 'pork', 'snake', 'ash', 'lion', 'tiger', 'hand', 'birth', 'test', 'exam', 'house', 'alarm', 'clever', 'flour', 'exact', 'pine']"
E2,TrialList6,elm-rock,crust-boot,sit-stand,"['bear', 'bun', 'alive', 'dead', 'lemon', 'flat', 'sit', 'stand', 'crust', 'boot', 'ideal', 'fill', 'white', 'tear', 'elm', 'rock', 'river', 'chain', 'found', 'lost']"
E2,TrialList7,east-short,old-new,glass-cage,"['heavy', 'meter', 'kitchen', 'heart', 'old', 'new', 'dim', 'worn', 'boots', 'love', 'glass', 'cage', 'full', 'empty', 'east', 'short', 'hard', 'soft', 'wood', 'timber']"
E2,TrialList8,giant-subtle,army-drum,happy-sad,"['rural', 'pen', 'tall', 'ride', 'happy', 'sad', 'style', 'fine', 'land', 'acre', 'cake', 'icing', 'floor', 'tile', 'army', 'drum', 'giant', 'subtle', 'tough', 'gift']"
E2,TrialList9,weird-trauma,olive-real,candle-wick,"['male', 'guest', 'sleep', 'hammock', 'candle', 'wick', 'olive', 'real', 'silly', 'layer', 'anger', 'rage', 'weird', 'trauma', 'skirt', 'king', 'toe', 'sore', 'fly', 'happen']"
E2,TrialList10,garage-bone,feet-chapel,chair-table,"['pure', 'boss', 'feet', 'chapel', 'gas', 'dope', 'chair', 'table', 'late', 'early', 'aware', 'list', 'sand', 'dune', 'fire', 'blaze', 'ring', 'ship', 'garage', 'bone']"
