gameID,clueFinal,Acc,Level,wordpair_id,target1,target2,words_in_patch,patchsize
454955-472987,acai,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
455383-451866,round,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
455606-490832,spherical,1,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
455664-456812,circle,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
457037-457239,round,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
457425-475416,warm,1,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
457520-487881,salad,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
457564-463955,cereal,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
458120-464965,round,1,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
458387-458129,hot,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
463818-486590,round,1,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
463852-487338,ice cream,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
463890-465862,round,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
463946-472824,spherical,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
463960-455649,round,1,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
464103-465376,round,0,Medium,bowl-sun,bowl,sun,"brunch,warm,hot,strawberry,round,summer,breakfast,football,ice cream,ceramic,circular,evaporate,soup,sky,circle,plate,cereal,star,daystar,salsa,sunshine,light,Aztecs,weather,yellow,Aztec",26
