wordpair_id,gameID,clueOption,clueOption_word,Method,In/Out
ankle-travel,455383-451866,1,run,glove,Out
ankle-travel,455383-451866,1,run,num_unique,In
ankle-travel,455383-451866,1,run,swow,Out
ankle-travel,455383-451866,2,dance,glove,Out
ankle-travel,455383-451866,2,dance,num_unique,Out
ankle-travel,455383-451866,2,dance,swow,Out
ankle-travel,455383-451866,3,body,glove,Out
ankle-travel,455383-451866,3,body,num_unique,Out
ankle-travel,455383-451866,3,body,swow,Out
ankle-travel,455383-451866,4,,glove,
ankle-travel,455383-451866,4,,num_unique,
ankle-travel,455383-451866,4,,swow,
ankle-travel,455383-451866,5,,glove,
ankle-travel,455383-451866,5,,num_unique,
ankle-travel,455383-451866,5,,swow,
ankle-travel,455383-451866,6,,glove,
ankle-travel,455383-451866,6,,num_unique,
ankle-travel,455383-451866,6,,swow,
ankle-travel,455383-451866,7,,glove,
ankle-travel,455383-451866,7,,num_unique,
ankle-travel,455383-451866,7,,swow,
ankle-travel,455383-451866,8,,glove,
ankle-travel,455383-451866,8,,num_unique,
ankle-travel,455383-451866,8,,swow,
ankle-travel,455606-490832,1,feet,glove,Out
ankle-travel,455606-490832,1,feet,num_unique,In
ankle-travel,455606-490832,1,feet,swow,In
ankle-travel,455606-490832,2,legs,glove,Out
ankle-travel,455606-490832,2,legs,num_unique,Out
ankle-travel,455606-490832,2,legs,swow,Out
ankle-travel,455606-490832,3,bipedal,glove,Out
ankle-travel,455606-490832,3,bipedal,num_unique,Out
ankle-travel,455606-490832,3,bipedal,swow,Out
ankle-travel,455606-490832,4,,glove,
ankle-travel,455606-490832,4,,num_unique,
ankle-travel,455606-490832,4,,swow,
ankle-travel,455606-490832,5,,glove,
ankle-travel,455606-490832,5,,num_unique,
ankle-travel,455606-490832,5,,swow,
ankle-travel,455606-490832,6,,glove,
ankle-travel,455606-490832,6,,num_unique,
ankle-travel,455606-490832,6,,swow,
ankle-travel,455606-490832,7,,glove,
ankle-travel,455606-490832,7,,num_unique,
ankle-travel,455606-490832,7,,swow,
ankle-travel,455606-490832,8,,glove,
ankle-travel,455606-490832,8,,num_unique,
ankle-travel,455606-490832,8,,swow,
ankle-travel,455664-456812,1,injury,glove,In
ankle-travel,455664-456812,1,injury,num_unique,In
ankle-travel,455664-456812,1,injury,swow,Out
ankle-travel,455664-456812,2,pt,glove,Out
ankle-travel,455664-456812,2,pt,num_unique,Out
ankle-travel,455664-456812,2,pt,swow,Out
ankle-travel,455664-456812,3,fly,glove,Out
ankle-travel,455664-456812,3,fly,num_unique,Out
ankle-travel,455664-456812,3,fly,swow,Out
ankle-travel,455664-456812,4,,glove,
ankle-travel,455664-456812,4,,num_unique,
ankle-travel,455664-456812,4,,swow,
ankle-travel,455664-456812,5,,glove,
ankle-travel,455664-456812,5,,num_unique,
ankle-travel,455664-456812,5,,swow,
ankle-travel,455664-456812,6,,glove,
ankle-travel,455664-456812,6,,num_unique,
ankle-travel,455664-456812,6,,swow,
ankle-travel,455664-456812,7,,glove,
ankle-travel,455664-456812,7,,num_unique,
ankle-travel,455664-456812,7,,swow,
ankle-travel,455664-456812,8,,glove,
ankle-travel,455664-456812,8,,num_unique,
ankle-travel,455664-456812,8,,swow,
ankle-travel,457037-457239,1,basketball,glove,Out
ankle-travel,457037-457239,1,basketball,num_unique,In
ankle-travel,457037-457239,1,basketball,swow,Out
ankle-travel,457037-457239,2,sprain,glove,Out
ankle-travel,457037-457239,2,sprain,num_unique,In
ankle-travel,457037-457239,2,sprain,swow,In
ankle-travel,457037-457239,3,high-top,glove,Out
ankle-travel,457037-457239,3,high-top,num_unique,Out
ankle-travel,457037-457239,3,high-top,swow,Out
ankle-travel,457037-457239,4,,glove,
ankle-travel,457037-457239,4,,num_unique,
ankle-travel,457037-457239,4,,swow,
ankle-travel,457037-457239,5,,glove,
ankle-travel,457037-457239,5,,num_unique,
ankle-travel,457037-457239,5,,swow,
ankle-travel,457037-457239,6,,glove,
ankle-travel,457037-457239,6,,num_unique,
ankle-travel,457037-457239,6,,swow,
ankle-travel,457037-457239,7,,glove,
ankle-travel,457037-457239,7,,num_unique,
ankle-travel,457037-457239,7,,swow,
ankle-travel,457037-457239,8,,glove,
ankle-travel,457037-457239,8,,num_unique,
ankle-travel,457037-457239,8,,swow,
ankle-travel,457425-475416,1,foot,glove,In
ankle-travel,457425-475416,1,foot,num_unique,In
ankle-travel,457425-475416,1,foot,swow,In
ankle-travel,457425-475416,2,walking,glove,Out
ankle-travel,457425-475416,2,walking,num_unique,In
ankle-travel,457425-475416,2,walking,swow,Out
ankle-travel,457425-475416,3,movement,glove,Out
ankle-travel,457425-475416,3,movement,num_unique,In
ankle-travel,457425-475416,3,movement,swow,Out
ankle-travel,457425-475416,4,,glove,
ankle-travel,457425-475416,4,,num_unique,
ankle-travel,457425-475416,4,,swow,
ankle-travel,457425-475416,5,,glove,
ankle-travel,457425-475416,5,,num_unique,
ankle-travel,457425-475416,5,,swow,
ankle-travel,457425-475416,6,,glove,
ankle-travel,457425-475416,6,,num_unique,
ankle-travel,457425-475416,6,,swow,
ankle-travel,457425-475416,7,,glove,
ankle-travel,457425-475416,7,,num_unique,
ankle-travel,457425-475416,7,,swow,
ankle-travel,457425-475416,8,,glove,
ankle-travel,457425-475416,8,,num_unique,
ankle-travel,457425-475416,8,,swow,
ankle-travel,457520-487881,1,walk,glove,Out
ankle-travel,457520-487881,1,walk,num_unique,In
ankle-travel,457520-487881,1,walk,swow,Out
ankle-travel,457520-487881,2,body,glove,Out
ankle-travel,457520-487881,2,body,num_unique,Out
ankle-travel,457520-487881,2,body,swow,Out
ankle-travel,457520-487881,3,move,glove,Out
ankle-travel,457520-487881,3,move,num_unique,Out
ankle-travel,457520-487881,3,move,swow,Out
ankle-travel,457520-487881,4,,glove,
ankle-travel,457520-487881,4,,num_unique,
ankle-travel,457520-487881,4,,swow,
ankle-travel,457520-487881,5,,glove,
ankle-travel,457520-487881,5,,num_unique,
ankle-travel,457520-487881,5,,swow,
ankle-travel,457520-487881,6,,glove,
ankle-travel,457520-487881,6,,num_unique,
ankle-travel,457520-487881,6,,swow,
ankle-travel,457520-487881,7,,glove,
ankle-travel,457520-487881,7,,num_unique,
ankle-travel,457520-487881,7,,swow,
