wordpair_id,In-In,In-Out,Out-In,Out-Out,Acc,ClueFinal,row_id,PatchMethod
bowl-sun,0,1,0,2,0,acai,0,NumberOfUniqueClues
cave-knight,1,1,0,0,0,mysterious,1,NumberOfUniqueClues
glow-quick,1,1,0,0,0,firefly,2,NumberOfUniqueClues
gold-silver,2,0,0,0,1,jewelry,3,NumberOfUniqueClues
oak-tree,2,0,0,0,1,forest,4,NumberOfUniqueClues
ankle-travel,0,1,0,1,0,runner,5,NumberOfUniqueClues
army-drum,2,0,0,0,1,marching,6,NumberOfUniqueClues
ash-snake,1,1,0,0,0,reptile,7,NumberOfUniqueClues
bet-dream,0,1,0,1,0,goal,8,NumberOfUniqueClues
birth-hand,2,0,0,0,0,OBGYN,9,NumberOfUniqueClues
bone-garage,2,0,0,0,0,car,10,NumberOfUniqueClues
boot-crust,0,1,1,0,1,dirty,11,NumberOfUniqueClues
bowl-sun,1,1,0,0,0,round,12,NumberOfUniqueClues
cage-glass,0,1,0,1,0,oppression,13,NumberOfUniqueClues
candle-wick,0,1,1,0,1,ignite,14,NumberOfUniqueClues
cave-knight,1,1,0,0,0,medieval,15,NumberOfUniqueClues
chair-table,0,1,1,0,1,furniture,16,NumberOfUniqueClues
chapel-feet,0,1,0,1,0,catholic,17,NumberOfUniqueClues
east-short,1,1,0,0,0,compass,18,NumberOfUniqueClues
elm-rock,2,0,0,0,0,nature,19,NumberOfUniqueClues
giant-subtle,0,1,0,1,0,huge,20,NumberOfUniqueClues
glow-quick,2,0,0,0,0,light,21,NumberOfUniqueClues
gold-silver,2,0,0,0,1,valuable,22,NumberOfUniqueClues
gums-teeth,0,1,0,1,1,oral,23,NumberOfUniqueClues
happy-sad,1,1,0,0,1,emotions,24,NumberOfUniqueClues
holy-kind,1,1,0,0,1,Jesus,25,NumberOfUniqueClues
jump-leap,0,1,0,1,0,hopscotch,26,NumberOfUniqueClues
lion-tiger,1,1,0,0,0,carnivores,27,NumberOfUniqueClues
new-old,0,1,0,1,1,phone,28,NumberOfUniqueClues
