wordpair_id,gameID,target1,target2,variable,value,Prediction_SWOW
ankle-travel,455383-451866,ankle,travel,clueOption1,run,2
ankle-travel,455383-451866,ankle,travel,clueOption2,dance,1
ankle-travel,455383-451866,ankle,travel,clueOption3,body,1
ankle-travel,455606-490832,ankle,travel,clueOption1,feet,1
ankle-travel,455606-490832,ankle,travel,clueOption2,legs,1
ankle-travel,455606-490832,ankle,travel,clueOption3,bipedal,2
ankle-travel,455664-456812,ankle,travel,clueOption1,injury,1
ankle-travel,455664-456812,ankle,travel,clueOption2,pt,2
ankle-travel,455664-456812,ankle,travel,clueOption3,fly,2
ankle-travel,457037-457239,ankle,travel,clueOption1,basketball,1
ankle-travel,457037-457239,ankle,travel,clueOption2,sprain,1
ankle-travel,457037-457239,ankle,travel,clueOption3,high-top,2
ankle-travel,457425-475416,ankle,travel,clueOption1,foot,1
ankle-travel,457425-475416,ankle,travel,clueOption2,walking,2
ankle-travel,457425-475416,ankle,travel,clueOption3,movement,2
ankle-travel,457520-487881,ankle,travel,clueOption1,walk,2
ankle-travel,457520-487881,ankle,travel,clueOption2,body,1
ankle-travel,457520-487881,ankle,travel,clueOption3,move,2
ankle-travel,457564-463955,ankle,travel,clueOption1,walking,2
ankle-travel,457564-463955,ankle,travel,clueOption2,journey,2
ankle-travel,457564-463955,ankle,travel,clueOption3,running,1
ankle-travel,458120-464965,ankle,travel,clueOption1,boot,1
ankle-travel,458120-464965,ankle,travel,clueOption2,hike,2
ankle-travel,458120-464965,ankle,travel,clueOption3,step,1
ankle-travel,458387-458129,ankle,travel,clueOption1,walking,2
ankle-travel,458387-458129,ankle,travel,clueOption2,destination,2
ankle-travel,458387-458129,ankle,travel,clueOption3,place,2
ankle-travel,463818-486590,ankle,travel,clueOption1,sprain,1
ankle-travel,463818-486590,ankle,travel,clueOption2,suitcase,2
ankle-travel,463818-486590,ankle,travel,clueOption3,movement,2
ankle-travel,463852-487338,ankle,travel,clueOption1,walking,2
ankle-travel,463852-487338,ankle,travel,clueOption2,shoes,1
ankle-travel,463852-487338,ankle,travel,clueOption3,plane,2
ankle-travel,463852-487338,ankle,travel,clueOption4,sprained,1
ankle-travel,463852-487338,ankle,travel,clueOption5,boots,1
ankle-travel,463852-487338,ankle,travel,clueOption6,backpacking,2
ankle-travel,463890-465862,ankle,travel,clueOption1,arrest,1
ankle-travel,463890-465862,ankle,travel,clueOption2,walking,2
ankle-travel,463890-465862,ankle,travel,clueOption3,movement,2
ankle-travel,463946-472824,ankle,travel,clueOption1,walk,2
ankle-travel,463946-472824,ankle,travel,clueOption2,move,2
ankle-travel,463946-472824,ankle,travel,clueOption3,traverse,2
ankle-travel,463960-455649,ankle,travel,clueOption1,walk,2
ankle-travel,463960-455649,ankle,travel,clueOption2,run,2
ankle-travel,463960-455649,ankle,travel,clueOption3,move,2
ankle-travel,464103-465376,ankle,travel,clueOption1,crossover,2
ankle-travel,464103-465376,ankle,travel,clueOption2,carry,2
ankle-travel,464103-465376,ankle,travel,clueOption3,step back,2
ankle-travel,464103-465376,ankle,travel,clueOption4,harden,2
ankle-travel,464103-465376,ankle,travel,clueOption5,jogging,1
ankle-travel,464255-486078,ankle,travel,clueOption1,cross up,2
ankle-travel,464255-486078,ankle,travel,clueOption2,basketball,1
ankle-travel,464255-486078,ankle,travel,clueOption3,walk,2
ankle-travel,464313-456825,ankle,travel,clueOption1,wheelchair,1
ankle-travel,464313-456825,ankle,travel,clueOption2,mobility,2
ankle-travel,464313-456825,ankle,travel,clueOption3,crutches,1
ankle-travel,464439-476054,ankle,travel,clueOption1,bracelet,1
ankle-travel,464439-476054,ankle,travel,clueOption2,hawaii,2
ankle-travel,464439-476054,ankle,travel,clueOption3,foot,1
ankle-travel,465668-490018,ankle,travel,clueOption1,sprain,1
ankle-travel,465668-490018,ankle,travel,clueOption2,foot,1
ankle-travel,465668-490018,ankle,travel,clueOption3,world,2
ankle-travel,466145-475071,ankle,travel,clueOption1,injury,1
ankle-travel,466145-475071,ankle,travel,clueOption2,fly,2
ankle-travel,466145-475071,ankle,travel,clueOption3,adventure,2
ankle-travel,466195-455551,ankle,travel,clueOption1,plane,2
ankle-travel,466195-455551,ankle,travel,clueOption2,trip,2
ankle-travel,466195-455551,ankle,travel,clueOption3,destinations,2
ankle-travel,466195-455551,ankle,travel,clueOption4,body,1
ankle-travel,466195-455551,ankle,travel,clueOption5,foot,1
ankle-travel,466195-455551,ankle,travel,clueOption6,leg,1
ankle-travel,466195-455551,ankle,travel,clueOption7,bony,2
ankle-travel,466351-465700,ankle,travel,clueOption1,basketball,1
ankle-travel,466351-465700,ankle,travel,clueOption2,dribble,2
ankle-travel,466351-465700,ankle,travel,clueOption3,crossover,2
ankle-travel,472844-473444,ankle,travel,clueOption1,hike,2
ankle-travel,472844-473444,ankle,travel,clueOption2,sandals,1
ankle-travel,472844-473444,ankle,travel,clueOption3,achilles,2
ankle-travel,472848-466189,ankle,travel,clueOption1,walking,2
ankle-travel,472848-466189,ankle,travel,clueOption2,moving,2
ankle-travel,472848-466189,ankle,travel,clueOption3,legs,1
ankle-travel,473115-463794,ankle,travel,clueOption1,plane,2
ankle-travel,473115-463794,ankle,travel,clueOption2,boat,2
ankle-travel,473115-463794,ankle,travel,clueOption3,foot,1
ankle-travel,473115-463794,ankle,travel,clueOption4,walk,2
ankle-travel,473115-463794,ankle,travel,clueOption5,drive,2
ankle-travel,473115-463794,ankle,travel,clueOption6,joint,1
ankle-travel,473130-490559,ankle,travel,clueOption1,walk,2
ankle-travel,473130-490559,ankle,travel,clueOption2,leg,1
ankle-travel,473130-490559,ankle,travel,clueOption3,moving,2
ankle-travel,473130-490559,ankle,travel,clueOption4,foot,1
ankle-travel,473130-490559,ankle,travel,clueOption5,run,2
ankle-travel,473184-487224,ankle,travel,clueOption1,moving,2
ankle-travel,473184-487224,ankle,travel,clueOption2,vacation,2
ankle-travel,473184-487224,ankle,travel,clueOption3,foot,1
ankle-travel,473468-490173,ankle,travel,clueOption1,walk,2
ankle-travel,473468-490173,ankle,travel,clueOption2,suitcase,2
ankle-travel,473468-490173,ankle,travel,clueOption3,hike,2
ankle-travel,473468-490173,ankle,travel,clueOption4,exploring,2
ankle-travel,473706-458155,ankle,travel,clueOption1,broke,1
ankle-travel,473706-458155,ankle,travel,clueOption2,gymnastics,1
ankle-travel,473706-458155,ankle,travel,clueOption3,walk,2
ankle-travel,473706-458155,ankle,travel,clueOption4,transport,2
ankle-travel,473736-473763,ankle,travel,clueOption1,foot,1
ankle-travel,473736-473763,ankle,travel,clueOption2,journey,2
ankle-travel,473736-473763,ankle,travel,clueOption3,afoot,2
ankle-travel,473749-473360,ankle,travel,clueOption1,mountaineering,2
ankle-travel,473749-473360,ankle,travel,clueOption2,walking,2
ankle-travel,473749-473360,ankle,travel,clueOption3,mountain-climbing,2
ankle-travel,474297-455411,ankle,travel,clueOption1,shoes,1
ankle-travel,474297-455411,ankle,travel,clueOption2,boots,1
ankle-travel,474297-455411,ankle,travel,clueOption3,step,1
ankle-travel,474298-475599,ankle,travel,clueOption1,basketball,1
ankle-travel,474298-475599,ankle,travel,clueOption2,foul,1
ankle-travel,474298-475599,ankle,travel,clueOption3,hike,2
ankle-travel,475267-490546,ankle,travel,clueOption1,afoot,2
ankle-travel,475267-490546,ankle,travel,clueOption2,walk,2
ankle-travel,475267-490546,ankle,travel,clueOption3,transport,2
ankle-travel,475561-473741,ankle,travel,clueOption1,walk,2
ankle-travel,475561-473741,ankle,travel,clueOption2,trip,2
ankle-travel,475561-473741,ankle,travel,clueOption3,journey,2
ankle-travel,475635-488152,ankle,travel,clueOption1,pedicure,2
ankle-travel,475635-488152,ankle,travel,clueOption2,sandals,1
ankle-travel,475635-488152,ankle,travel,clueOption3,fragile,1
ankle-travel,475843-472942,ankle,travel,clueOption1,probation,1
ankle-travel,475843-472942,ankle,travel,clueOption2,monitoring,2
ankle-travel,475843-472942,ankle,travel,clueOption3,vacation,2
ankle-travel,475881-473301,ankle,travel,clueOption1,basketball,1
ankle-travel,475881-473301,ankle,travel,clueOption2,sports,1
ankle-travel,475881-473301,ankle,travel,clueOption3,reference,2
ankle-travel,485894-457849,ankle,travel,clueOption1,walk,2
ankle-travel,485894-457849,ankle,travel,clueOption2,foot,1
ankle-travel,485894-457849,ankle,travel,clueOption3,sandal,2
ankle-travel,486041-457632,ankle,travel,clueOption1,injury,1
ankle-travel,486041-457632,ankle,travel,clueOption2,basketball,1
ankle-travel,486041-457632,ankle,travel,clueOption3,walk,2
ankle-travel,486041-457632,ankle,travel,clueOption4,walking,2
ankle-travel,486041-457632,ankle,travel,clueOption5,feet,1
ankle-travel,486051-473300,ankle,travel,clueOption1,hike,2
ankle-travel,486051-473300,ankle,travel,clueOption2,trail,2
ankle-travel,486051-473300,ankle,travel,clueOption3,foot,1
ankle-travel,486052-490835,ankle,travel,clueOption1,movement,2
ankle-travel,486052-490835,ankle,travel,clueOption2,leg,1
ankle-travel,486052-490835,ankle,travel,clueOption3,journey,2
ankle-travel,486112-490466,ankle,travel,clueOption1,vacation,2
ankle-travel,486112-490466,ankle,travel,clueOption2,foot,1
ankle-travel,486112-490466,ankle,travel,clueOption3,holiday,2
ankle-travel,486514-466626,ankle,travel,clueOption1,plane,2
ankle-travel,486514-466626,ankle,travel,clueOption2,heel,1
ankle-travel,486514-466626,ankle,travel,clueOption3,move,2
ankle-travel,487223-477222,ankle,travel,clueOption1,basketball,1
ankle-travel,487223-477222,ankle,travel,clueOption2,pivot,1
ankle-travel,487223-477222,ankle,travel,clueOption3,walking,2
ankle-travel,487409-487333,ankle,travel,clueOption1,basketball,1
ankle-travel,487409-487333,ankle,travel,clueOption2,foot,1
ankle-travel,487409-487333,ankle,travel,clueOption3,fly,2
ankle-travel,487468-490008,ankle,travel,clueOption1,basketball,1
ankle-travel,487468-490008,ankle,travel,clueOption2,sneakers,1
ankle-travel,487468-490008,ankle,travel,clueOption3,injury,1
ankle-travel,488171-466122,ankle,travel,clueOption1,foot,1
ankle-travel,488171-466122,ankle,travel,clueOption2,basketball,1
ankle-travel,488171-466122,ankle,travel,clueOption3,twist,1
ankle-travel,490556-458799,ankle,travel,clueOption1,boots,1
ankle-travel,490556-458799,ankle,travel,clueOption2,ski,2
ankle-travel,490556-458799,ankle,travel,clueOption3,shoes,1
ankle-travel,490556-458799,ankle,travel,clueOption4,sneakers,1
ankle-travel,490576-485731,ankle,travel,clueOption1,walk,2
ankle-travel,490576-485731,ankle,travel,clueOption2,shoe,1
ankle-travel,490576-485731,ankle,travel,clueOption3,boots,1
ankle-travel,490576-485731,ankle,travel,clueOption4,sandals,1
ankle-travel,490603-458355,ankle,travel,clueOption1,suitcase,2
ankle-travel,490603-458355,ankle,travel,clueOption2,feet,1
ankle-travel,490603-458355,ankle,travel,clueOption3,walking,2
ankle-travel,490624-466707,ankle,travel,clueOption1,sightseeing,2
ankle-travel,490624-466707,ankle,travel,clueOption2,visit,2
ankle-travel,490624-466707,ankle,travel,clueOption3,body,1
ankle-travel,491095-486542,ankle,travel,clueOption1,hiking,2
ankle-travel,491095-486542,ankle,travel,clueOption2,walking,2
ankle-travel,491095-486542,ankle,travel,clueOption3,fatigue,1
ankle-travel,491095-486542,ankle,travel,clueOption4,soreness,1
army-drum,455383-451866,army,drum,clueOption1,rhythm,2
army-drum,455383-451866,army,drum,clueOption2,marching,1
army-drum,455383-451866,army,drum,clueOption3,band,2
army-drum,455606-490832,army,drum,clueOption1,band,2
army-drum,455606-490832,army,drum,clueOption2,war,1
army-drum,455606-490832,army,drum,clueOption3,loud,2
army-drum,455664-456812,army,drum,clueOption1,instrument,2
army-drum,455664-456812,army,drum,clueOption2,play,2
army-drum,455664-456812,army,drum,clueOption3,music,2
army-drum,457037-457239,army,drum,clueOption1,boom,2
army-drum,457037-457239,army,drum,clueOption2,big,1
army-drum,457037-457239,army,drum,clueOption3,explosive,2
army-drum,457425-475416,army,drum,clueOption1,march,2
army-drum,457425-475416,army,drum,clueOption2,military,1
army-drum,457425-475416,army,drum,clueOption3,band,2
army-drum,457520-487881,army,drum,clueOption1,band,2
army-drum,457520-487881,army,drum,clueOption2,marching,1
army-drum,457520-487881,army,drum,clueOption3,music,2
army-drum,457564-463955,army,drum,clueOption1,marching,1
army-drum,457564-463955,army,drum,clueOption2,band,2
army-drum,457564-463955,army,drum,clueOption3,military,1
army-drum,458120-464965,army,drum,clueOption1,marching,1
army-drum,458120-464965,army,drum,clueOption2,band,2
army-drum,458120-464965,army,drum,clueOption3,beat,2
army-drum,458387-458129,army,drum,clueOption1,sound,2
army-drum,458387-458129,army,drum,clueOption2,beat,2
army-drum,458387-458129,army,drum,clueOption3,group,1
army-drum,463818-486590,army,drum,clueOption1,marching,1
army-drum,463818-486590,army,drum,clueOption2,boy,2
army-drum,463818-486590,army,drum,clueOption3,military,1
army-drum,463890-465862,army,drum,clueOption1,morale,1
army-drum,463890-465862,army,drum,clueOption2,order,1
army-drum,463890-465862,army,drum,clueOption3,march,2
army-drum,463946-472824,army,drum,clueOption1,march,2
army-drum,463946-472824,army,drum,clueOption2,stomp,2
army-drum,463946-472824,army,drum,clueOption3,music,2
army-drum,463960-455649,army,drum,clueOption1,march,2
army-drum,463960-455649,army,drum,clueOption2,beat,2
army-drum,463960-455649,army,drum,clueOption3,step,2
army-drum,463960-455649,army,drum,clueOption4,unison,2
army-drum,463960-455649,army,drum,clueOption5,war,1
army-drum,464103-465376,army,drum,clueOption1,marching,1
army-drum,464103-465376,army,drum,clueOption2,formation,1
army-drum,464103-465376,army,drum,clueOption3,halftime,2
army-drum,464255-486078,army,drum,clueOption1,bang,2
army-drum,464255-486078,army,drum,clueOption2,war,1
army-drum,464255-486078,army,drum,clueOption3,loud,2
army-drum,464439-476054,army,drum,clueOption1,beat,2
army-drum,464439-476054,army,drum,clueOption2,march,2
army-drum,464439-476054,army,drum,clueOption3,soldier,1
army-drum,465668-490018,army,drum,clueOption1,march,2
army-drum,465668-490018,army,drum,clueOption2,muskets,2
army-drum,465668-490018,army,drum,clueOption3,football,1
army-drum,466145-475071,army,drum,clueOption1,military,1
army-drum,466145-475071,army,drum,clueOption2,music,2
army-drum,466145-475071,army,drum,clueOption3,rotc,2
army-drum,466195-455551,army,drum,clueOption1,cadence,2
army-drum,466195-455551,army,drum,clueOption2,military,1
army-drum,466195-455551,army,drum,clueOption3,instrument,2
army-drum,472844-473444,army,drum,clueOption1,warrior,1
army-drum,472844-473444,army,drum,clueOption2,beat,2
army-drum,472844-473444,army,drum,clueOption3,march,2
army-drum,473115-463794,army,drum,clueOption1,majorette,2
army-drum,473115-463794,army,drum,clueOption2,military,1
army-drum,473115-463794,army,drum,clueOption3,marching,1
army-drum,473115-463794,army,drum,clueOption4,cymbals,2
army-drum,473468-490173,army,drum,clueOption1,wake-up,2
army-drum,473468-490173,army,drum,clueOption2,music,2
army-drum,473468-490173,army,drum,clueOption3,troops,1
army-drum,473706-458155,army,drum,clueOption1,instrument,2
army-drum,473706-458155,army,drum,clueOption2,assembly,1
army-drum,473706-458155,army,drum,clueOption3,line,2
army-drum,473736-473763,army,drum,clueOption1,marching,1
army-drum,473736-473763,army,drum,clueOption2,parade,1
army-drum,473736-473763,army,drum,clueOption3,band,2
army-drum,473736-473763,army,drum,clueOption4,beat,2
army-drum,473736-473763,army,drum,clueOption5,uniform,1
army-drum,473749-473360,army,drum,clueOption1,marching,1
army-drum,473749-473360,army,drum,clueOption2,band,2
army-drum,473749-473360,army,drum,clueOption3,geeks,1
army-drum,474298-475599,army,drum,clueOption1,weapon,1
army-drum,474298-475599,army,drum,clueOption2,gun,1
army-drum,474298-475599,army,drum,clueOption3,loud,2
army-drum,475267-490546,army,drum,clueOption1,beat,2
army-drum,475267-490546,army,drum,clueOption2,intimidate,1
army-drum,475267-490546,army,drum,clueOption3,marching,1
army-drum,475267-490546,army,drum,clueOption4,advance,1
army-drum,475267-490546,army,drum,clueOption5,march,2
army-drum,475267-490546,army,drum,clueOption6,band,2
army-drum,475635-488152,army,drum,clueOption1,loud,2
army-drum,475635-488152,army,drum,clueOption2,band,2
army-drum,475635-488152,army,drum,clueOption3,disciplined,2
army-drum,475843-472942,army,drum,clueOption1,navy,1
army-drum,475843-472942,army,drum,clueOption2,america,2
army-drum,475843-472942,army,drum,clueOption3,national,1
army-drum,485894-457849,army,drum,clueOption1,march,2
army-drum,485894-457849,army,drum,clueOption2,battle,1
army-drum,485894-457849,army,drum,clueOption3,band,2
army-drum,486041-457632,army,drum,clueOption1,march,2
army-drum,486041-457632,army,drum,clueOption2,marching,1
army-drum,486041-457632,army,drum,clueOption3,war,1
army-drum,486041-457632,army,drum,clueOption4,beat,2
army-drum,486051-473300,army,drum,clueOption1,marching,1
army-drum,486051-473300,army,drum,clueOption2,band,2
army-drum,486051-473300,army,drum,clueOption3,beat,2
army-drum,486052-490835,army,drum,clueOption1,line,2
army-drum,486052-490835,army,drum,clueOption2,formation,1
army-drum,486052-490835,army,drum,clueOption3,listen,2
army-drum,486112-490466,army,drum,clueOption1,drum set,2
army-drum,486112-490466,army,drum,clueOption2,instrument,2
army-drum,486112-490466,army,drum,clueOption3,percussion,2
army-drum,486514-466626,army,drum,clueOption1,boy,2
army-drum,486514-466626,army,drum,clueOption2,battle,1
army-drum,486514-466626,army,drum,clueOption3,suspense,2
army-drum,486514-466626,army,drum,clueOption4,action,1
army-drum,487409-487333,army,drum,clueOption1,instrument,2
army-drum,487409-487333,army,drum,clueOption2,kill,1
army-drum,487409-487333,army,drum,clueOption3,soldier,1
army-drum,487468-490008,army,drum,clueOption1,soldier,1
army-drum,487468-490008,army,drum,clueOption2,soldierboy,2
army-drum,487468-490008,army,drum,clueOption3,battle,1
army-drum,488171-466122,army,drum,clueOption1,march,2
army-drum,488171-466122,army,drum,clueOption2,band,2
army-drum,488171-466122,army,drum,clueOption3,fight,1
army-drum,490556-458799,army,drum,clueOption1,marching,1
army-drum,490556-458799,army,drum,clueOption2,lead,1
army-drum,490556-458799,army,drum,clueOption3,major,1
army-drum,490556-458799,army,drum,clueOption4,loud,2
army-drum,490556-458799,army,drum,clueOption5,rhythm,2
army-drum,490576-485731,army,drum,clueOption1,band,2
army-drum,490576-485731,army,drum,clueOption2,military,1
army-drum,490576-485731,army,drum,clueOption3,anthem,1
army-drum,490576-485731,army,drum,clueOption4,soldier,1
army-drum,490603-458355,army,drum,clueOption1,military,1
army-drum,490603-458355,army,drum,clueOption2,band,2
army-drum,490603-458355,army,drum,clueOption3,music,2
army-drum,490624-466707,army,drum,clueOption1,military,1
army-drum,490624-466707,army,drum,clueOption2,sticks,2
army-drum,490624-466707,army,drum,clueOption3,instrument,2
army-drum,491095-486542,army,drum,clueOption1,marching,1
army-drum,491095-486542,army,drum,clueOption2,band,2
army-drum,491095-486542,army,drum,clueOption3,anthem,1
ash-snake,455383-451866,ash,snake,clueOption1,fried,1
ash-snake,455383-451866,ash,snake,clueOption2,reptile,2
ash-snake,455383-451866,ash,snake,clueOption3,dusty,1
ash-snake,455606-490832,ash,snake,clueOption1,black,1
ash-snake,455606-490832,ash,snake,clueOption2,gray,1
ash-snake,455606-490832,ash,snake,clueOption3,cold,1
ash-snake,455606-490832,ash,snake,clueOption4,dead,1
ash-snake,455664-456812,ash,snake,clueOption1,burn,1
ash-snake,455664-456812,ash,snake,clueOption2,slytherin,2
ash-snake,455664-456812,ash,snake,clueOption3,nature,1
ash-snake,457037-457239,ash,snake,clueOption1,poison,2
ash-snake,457037-457239,ash,snake,clueOption2,death,1
ash-snake,457037-457239,ash,snake,clueOption3,voldemort,2
ash-snake,457425-475416,ash,snake,clueOption1,reptile,2
ash-snake,457425-475416,ash,snake,clueOption2,fire,1
ash-snake,457425-475416,ash,snake,clueOption3,burn,1
ash-snake,457520-487881,ash,snake,clueOption1,slither,2
ash-snake,457520-487881,ash,snake,clueOption2,fire,1
ash-snake,457520-487881,ash,snake,clueOption3,uncommon,2
ash-snake,457564-463955,ash,snake,clueOption1,unrelated,2
ash-snake,457564-463955,ash,snake,clueOption2,burnt,1
ash-snake,457564-463955,ash,snake,clueOption3,cremation,1
ash-snake,458120-464965,ash,snake,clueOption1,hell,1
ash-snake,458120-464965,ash,snake,clueOption2,medusa,2
ash-snake,458120-464965,ash,snake,clueOption3,betray,2
ash-snake,458387-458129,ash,snake,clueOption1,gross,2
ash-snake,458387-458129,ash,snake,clueOption2,scary,2
ash-snake,458387-458129,ash,snake,clueOption3,dead,1
ash-snake,458387-458129,ash,snake,clueOption4,deadly,2
ash-snake,463818-486590,ash,snake,clueOption1,fire,1
ash-snake,463818-486590,ash,snake,clueOption2,scale,2
ash-snake,463818-486590,ash,snake,clueOption3,embers,2
ash-snake,463852-487338,ash,snake,clueOption1,remnants,2
ash-snake,463852-487338,ash,snake,clueOption2,charcoal,1
ash-snake,463852-487338,ash,snake,clueOption3,poisonous,2
ash-snake,463852-487338,ash,snake,clueOption4,slither,2
ash-snake,463852-487338,ash,snake,clueOption5,shadow,2
ash-snake,463890-465862,ash,snake,clueOption1,dangerous,2
ash-snake,463890-465862,ash,snake,clueOption2,ground,1
ash-snake,463890-465862,ash,snake,clueOption3,forest,1
ash-snake,463946-472824,ash,snake,clueOption1,burn,1
ash-snake,463946-472824,ash,snake,clueOption2,desert,2
ash-snake,463946-472824,ash,snake,clueOption3,scary,2
ash-snake,463946-472824,ash,snake,clueOption4,fire,1
ash-snake,463946-472824,ash,snake,clueOption5,hell,1
ash-snake,463946-472824,ash,snake,clueOption6,devil,2
ash-snake,463960-455649,ash,snake,clueOption1,burn,1
ash-snake,463960-455649,ash,snake,clueOption2,reptile,2
ash-snake,463960-455649,ash,snake,clueOption3,hot-blooded,2
ash-snake,463960-455649,ash,snake,clueOption4,black,1
ash-snake,463960-455649,ash,snake,clueOption5,burnt,1
ash-snake,464103-465376,ash,snake,clueOption1,flakes,1
ash-snake,464103-465376,ash,snake,clueOption2,poisonous,2
ash-snake,464103-465376,ash,snake,clueOption3,deadly,2
ash-snake,464255-486078,ash,snake,clueOption1,danger,2
ash-snake,464255-486078,ash,snake,clueOption2,fear,2
ash-snake,464255-486078,ash,snake,clueOption3,injury,2
ash-snake,464313-456825,ash,snake,clueOption1,shedding,2
ash-snake,464313-456825,ash,snake,clueOption2,molting,2
ash-snake,464313-456825,ash,snake,clueOption3,fear,2
ash-snake,464439-476054,ash,snake,clueOption1,venom,2
ash-snake,464439-476054,ash,snake,clueOption2,dangerous,2
ash-snake,464439-476054,ash,snake,clueOption3,smoky,1
ash-snake,465668-490018,ash,snake,clueOption1,pipe,1
ash-snake,465668-490018,ash,snake,clueOption2,hissing,2
ash-snake,465668-490018,ash,snake,clueOption3,flames,1
ash-snake,466145-475071,ash,snake,clueOption1,poison,2
ash-snake,466145-475071,ash,snake,clueOption2,death,1
ash-snake,466145-475071,ash,snake,clueOption3,pompeii,2
ash-snake,466195-455551,ash,snake,clueOption1,fire,1
ash-snake,466195-455551,ash,snake,clueOption2,leftover,1
ash-snake,466195-455551,ash,snake,clueOption3,burnt,1
ash-snake,466195-455551,ash,snake,clueOption4,blackness,1
ash-snake,466195-455551,ash,snake,clueOption5,slither,2
ash-snake,466195-455551,ash,snake,clueOption6,hiss,2
ash-snake,466195-455551,ash,snake,clueOption7,animal,2
ash-snake,466195-455551,ash,snake,clueOption8,reptile,2
ash-snake,466351-465700,ash,snake,clueOption1,oil,1
ash-snake,466351-465700,ash,snake,clueOption2,burn,1
ash-snake,466351-465700,ash,snake,clueOption3,gray,1
ash-snake,472844-473444,ash,snake,clueOption1,sand,1
ash-snake,472844-473444,ash,snake,clueOption2,dragon,2
ash-snake,472844-473444,ash,snake,clueOption3,black,1
ash-snake,472848-466189,ash,snake,clueOption1,tree,1
ash-snake,472848-466189,ash,snake,clueOption2,slither,2
ash-snake,472848-466189,ash,snake,clueOption3,shed,2
ash-snake,473115-463794,ash,snake,clueOption1,camping,1
ash-snake,473115-463794,ash,snake,clueOption2,bonfire,1
ash-snake,473115-463794,ash,snake,clueOption3,venom,2
ash-snake,473115-463794,ash,snake,clueOption4,fire,1
ash-snake,473115-463794,ash,snake,clueOption5,smoke,1
ash-snake,473115-463794,ash,snake,clueOption6,medicine,2
ash-snake,473130-490559,ash,snake,clueOption1,desert,2
ash-snake,473130-490559,ash,snake,clueOption2,sahara,2
ash-snake,473130-490559,ash,snake,clueOption3,ground,1
ash-snake,473130-490559,ash,snake,clueOption4,rocks,1
ash-snake,473184-487224,ash,snake,clueOption1,coal,1
ash-snake,473184-487224,ash,snake,clueOption2,fire,1
